danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,eventtype
0.675,0.545,7,-5.614,0,0.0443,0.261,0,0.162,0.445,60.048,audio_features,4NpDZPwSXmL0cCTaJuVrCw,spotify:track:4NpDZPwSXmL0cCTaJuVrCw,https://api.spotify.com/v1/tracks/4NpDZPwSXmL0cCTaJuVrCw,https://api.spotify.com/v1/audio-analysis/4NpDZPwSXmL0cCTaJuVrCw,226507,4,club
0.764,0.694,11,-5.745,0,0.189,0.0439,0.00000367,0.18,0.581,146.075,audio_features,7EKTo6rVJ3XSS7QTd6ep2j,spotify:track:7EKTo6rVJ3XSS7QTd6ep2j,https://api.spotify.com/v1/tracks/7EKTo6rVJ3XSS7QTd6ep2j,https://api.spotify.com/v1/audio-analysis/7EKTo6rVJ3XSS7QTd6ep2j,223933,4,club
0.925,0.748,11,-5.572,0,0.278,0.0484,0,0.101,0.615,92.978,audio_features,2lVDc57IMK6nypg2iuEWVR,spotify:track:2lVDc57IMK6nypg2iuEWVR,https://api.spotify.com/v1/tracks/2lVDc57IMK6nypg2iuEWVR,https://api.spotify.com/v1/audio-analysis/2lVDc57IMK6nypg2iuEWVR,243027,4,club
0.732,0.724,0,-2.104,1,0.101,0.511,0,0.0491,0.808,140.13,audio_features,66TRwr5uJwPt15mfFkzhbi,spotify:track:66TRwr5uJwPt15mfFkzhbi,https://api.spotify.com/v1/tracks/66TRwr5uJwPt15mfFkzhbi,https://api.spotify.com/v1/audio-analysis/66TRwr5uJwPt15mfFkzhbi,221933,4,club
0.507,0.729,11,-5.399,0,0.0393,0.0182,0.0000014,0.0658,0.272,105.013,audio_features,4LiZFhponIS7BTvw8WsYRJ,spotify:track:4LiZFhponIS7BTvw8WsYRJ,https://api.spotify.com/v1/tracks/4LiZFhponIS7BTvw8WsYRJ,https://api.spotify.com/v1/audio-analysis/4LiZFhponIS7BTvw8WsYRJ,243960,4,club
0.833,0.879,1,-4.218,0,0.223,0.0704,0,0.0829,0.913,186.027,audio_features,0D0oS579qeUtqNH3J3GypS,spotify:track:0D0oS579qeUtqNH3J3GypS,https://api.spotify.com/v1/tracks/0D0oS579qeUtqNH3J3GypS,https://api.spotify.com/v1/audio-analysis/0D0oS579qeUtqNH3J3GypS,205930,4,club
0.734,0.746,11,-5.088,1,0.0762,0.00135,0,0.178,0.539,94.033,audio_features,3ZwCiJr65RovmNkjj62IOi,spotify:track:3ZwCiJr65RovmNkjj62IOi,https://api.spotify.com/v1/tracks/3ZwCiJr65RovmNkjj62IOi,https://api.spotify.com/v1/audio-analysis/3ZwCiJr65RovmNkjj62IOi,197627,4,club
0.706,0.843,11,-2.436,0,0.0722,0.00176,0,0.317,0.635,141.98,audio_features,6yOGrvkrcv5SbgzMkox2p8,spotify:track:6yOGrvkrcv5SbgzMkox2p8,https://api.spotify.com/v1/tracks/6yOGrvkrcv5SbgzMkox2p8,https://api.spotify.com/v1/audio-analysis/6yOGrvkrcv5SbgzMkox2p8,264760,4,club
0.421,0.547,0,-8.974,0,0.266,0.211,0,0.242,0.347,160.54,audio_features,0TiC3GtlMCskf2hIUIBcDV,spotify:track:0TiC3GtlMCskf2hIUIBcDV,https://api.spotify.com/v1/tracks/0TiC3GtlMCskf2hIUIBcDV,https://api.spotify.com/v1/audio-analysis/0TiC3GtlMCskf2hIUIBcDV,208813,4,club
0.771,0.963,2,-2.149,0,0.0394,0.0235,0.479,0.643,0.777,127.962,audio_features,2Sqpy3EmS5clnjgHXd7mlT,spotify:track:2Sqpy3EmS5clnjgHXd7mlT,https://api.spotify.com/v1/tracks/2Sqpy3EmS5clnjgHXd7mlT,https://api.spotify.com/v1/audio-analysis/2Sqpy3EmS5clnjgHXd7mlT,222099,4,club
0.833,0.791,1,-5.673,1,0.0655,0.0395,0.000656,0.253,0.416,108.984,audio_features,6Umxy1Ys3TMwf59PggHxax,spotify:track:6Umxy1Ys3TMwf59PggHxax,https://api.spotify.com/v1/tracks/6Umxy1Ys3TMwf59PggHxax,https://api.spotify.com/v1/audio-analysis/6Umxy1Ys3TMwf59PggHxax,248867,4,club
0.575,0.684,1,-6.007,1,0.325,0.299,0,0.614,0.926,172.155,audio_features,0DdpxWfVvUGgkJv5536tiF,spotify:track:0DdpxWfVvUGgkJv5536tiF,https://api.spotify.com/v1/tracks/0DdpxWfVvUGgkJv5536tiF,https://api.spotify.com/v1/audio-analysis/0DdpxWfVvUGgkJv5536tiF,204040,4,club
0.698,0.732,2,-4.522,1,0.266,0.00704,0.000647,0.359,0.0689,171.431,audio_features,5Z01UMMf7V1o0MzF86s6WJ,spotify:track:5Z01UMMf7V1o0MzF86s6WJ,https://api.spotify.com/v1/tracks/5Z01UMMf7V1o0MzF86s6WJ,https://api.spotify.com/v1/audio-analysis/5Z01UMMf7V1o0MzF86s6WJ,326467,4,club
0.691,0.779,8,-6.945,1,0.0584,0.00128,0.000679,0.175,0.32,124.986,audio_features,3jYW03V9XeM2w7LJ0EXQDC,spotify:track:3jYW03V9XeM2w7LJ0EXQDC,https://api.spotify.com/v1/tracks/3jYW03V9XeM2w7LJ0EXQDC,https://api.spotify.com/v1/audio-analysis/3jYW03V9XeM2w7LJ0EXQDC,178027,4,club
0.931,0.415,7,-8.491,1,0.293,0.0613,0,0.059,0.619,97.995,audio_features,77doqkS2s213W6AKgPC6Xj,spotify:track:77doqkS2s213W6AKgPC6Xj,https://api.spotify.com/v1/tracks/77doqkS2s213W6AKgPC6Xj,https://api.spotify.com/v1/audio-analysis/77doqkS2s213W6AKgPC6Xj,202199,4,club
0.96,0.271,8,-10.729,0,0.263,0.00607,0,0.281,0.533,123.947,audio_features,37P5hUDLy6Uo6Sxzd2mFqh,spotify:track:37P5hUDLy6Uo6Sxzd2mFqh,https://api.spotify.com/v1/tracks/37P5hUDLy6Uo6Sxzd2mFqh,https://api.spotify.com/v1/audio-analysis/37P5hUDLy6Uo6Sxzd2mFqh,256470,4,club
0.764,0.907,1,-3.969,1,0.0867,0.17,0.0000102,0.0988,0.542,95,audio_features,2AHI5Dnn8oSxfL472J84ma,spotify:track:2AHI5Dnn8oSxfL472J84ma,https://api.spotify.com/v1/tracks/2AHI5Dnn8oSxfL472J84ma,https://api.spotify.com/v1/audio-analysis/2AHI5Dnn8oSxfL472J84ma,205349,4,club
0.55,0.779,0,-3.841,1,0.211,0.0135,0,0.333,0.315,150.069,audio_features,0RIHDrcRAXtUlnkvTYPW1a,spotify:track:0RIHDrcRAXtUlnkvTYPW1a,https://api.spotify.com/v1/tracks/0RIHDrcRAXtUlnkvTYPW1a,https://api.spotify.com/v1/audio-analysis/0RIHDrcRAXtUlnkvTYPW1a,230281,4,club
0.791,0.658,7,-5.587,1,0.267,0.00129,0,0.113,0.795,134.938,audio_features,4lzgh4ecOYBsRpj6xLucJu,spotify:track:4lzgh4ecOYBsRpj6xLucJu,https://api.spotify.com/v1/tracks/4lzgh4ecOYBsRpj6xLucJu,https://api.spotify.com/v1/audio-analysis/4lzgh4ecOYBsRpj6xLucJu,175120,3,club
0.739,0.62,1,-6.018,1,0.119,0.000577,0,0.101,0.398,74.997,audio_features,3bGZi53xMWP1J6lHxJ0IpN,spotify:track:3bGZi53xMWP1J6lHxJ0IpN,https://api.spotify.com/v1/tracks/3bGZi53xMWP1J6lHxJ0IpN,https://api.spotify.com/v1/audio-analysis/3bGZi53xMWP1J6lHxJ0IpN,247453,4,club
0.803,0.79,1,-4.353,1,0.125,0.00863,0,0.0441,0.712,94.982,audio_features,2i8hWheuwDUwyPrZynCLEF,spotify:track:2i8hWheuwDUwyPrZynCLEF,https://api.spotify.com/v1/tracks/2i8hWheuwDUwyPrZynCLEF,https://api.spotify.com/v1/audio-analysis/2i8hWheuwDUwyPrZynCLEF,167813,4,club
0.328,0.498,4,-10.898,0,0.126,0.532,0.0000794,0.117,0.36,175.918,audio_features,101TaHCVkpOMmlQNjPKRQ5,spotify:track:101TaHCVkpOMmlQNjPKRQ5,https://api.spotify.com/v1/tracks/101TaHCVkpOMmlQNjPKRQ5,https://api.spotify.com/v1/audio-analysis/101TaHCVkpOMmlQNjPKRQ5,240173,4,club
0.691,0.717,1,-5.452,1,0.123,0.0436,0,0.073,0.236,73.948,audio_features,4h6u3btKihFNVKXKfL6NGE,spotify:track:4h6u3btKihFNVKXKfL6NGE,https://api.spotify.com/v1/tracks/4h6u3btKihFNVKXKfL6NGE,https://api.spotify.com/v1/audio-analysis/4h6u3btKihFNVKXKfL6NGE,276560,4,club
0.627,0.787,7,-6.914,1,0.191,0.0498,0,0.123,0.342,96.063,audio_features,6owEptWLQwoDE3CABMYKVh,spotify:track:6owEptWLQwoDE3CABMYKVh,https://api.spotify.com/v1/tracks/6owEptWLQwoDE3CABMYKVh,https://api.spotify.com/v1/audio-analysis/6owEptWLQwoDE3CABMYKVh,305040,4,club
0.808,0.607,1,-5.983,1,0.0809,0.0708,0,0.0455,0.877,100.015,audio_features,3a63I44dGAmaK5c2uetjIy,spotify:track:3a63I44dGAmaK5c2uetjIy,https://api.spotify.com/v1/tracks/3a63I44dGAmaK5c2uetjIy,https://api.spotify.com/v1/audio-analysis/3a63I44dGAmaK5c2uetjIy,203620,4,club
0.854,0.703,1,-7.127,1,0.285,0.0173,0.0000024,0.109,0.681,95.957,audio_features,4c7mwtU8HGuLUVqRX5HU7F,spotify:track:4c7mwtU8HGuLUVqRX5HU7F,https://api.spotify.com/v1/tracks/4c7mwtU8HGuLUVqRX5HU7F,https://api.spotify.com/v1/audio-analysis/4c7mwtU8HGuLUVqRX5HU7F,237187,4,club
0.425,0.679,5,-7.297,0,0.269,0.124,0,0.0999,0.164,89.798,audio_features,3WAmyRz4Myh1yV4HHlsCzN,spotify:track:3WAmyRz4Myh1yV4HHlsCzN,https://api.spotify.com/v1/tracks/3WAmyRz4Myh1yV4HHlsCzN,https://api.spotify.com/v1/audio-analysis/3WAmyRz4Myh1yV4HHlsCzN,265144,4,club
0.679,0.684,6,-8.559,1,0.278,0.0527,0.000895,0.177,0.755,151.748,audio_features,6ScJMrlpiLfZUGtWp4QIVt,spotify:track:6ScJMrlpiLfZUGtWp4QIVt,https://api.spotify.com/v1/tracks/6ScJMrlpiLfZUGtWp4QIVt,https://api.spotify.com/v1/audio-analysis/6ScJMrlpiLfZUGtWp4QIVt,221840,4,club
0.523,0.805,3,-5.473,1,0.192,0.0524,0,0.0914,0.602,125.358,audio_features,53DB6LJV9B8sz0p1s6tlGS,spotify:track:53DB6LJV9B8sz0p1s6tlGS,https://api.spotify.com/v1/tracks/53DB6LJV9B8sz0p1s6tlGS,https://api.spotify.com/v1/audio-analysis/53DB6LJV9B8sz0p1s6tlGS,227773,5,club
0.926,0.87,4,-3.393,1,0.271,0.0205,0,0.0513,0.717,92.489,audio_features,7n2Dqgp4iXd8Zorfj9XSYo,spotify:track:7n2Dqgp4iXd8Zorfj9XSYo,https://api.spotify.com/v1/tracks/7n2Dqgp4iXd8Zorfj9XSYo,https://api.spotify.com/v1/audio-analysis/7n2Dqgp4iXd8Zorfj9XSYo,192907,4,club
0.736,0.751,2,-5.066,1,0.0539,0.00144,0,0.395,0.678,154.533,audio_features,51ttEPT6uBo9Uydycd4rdI,spotify:track:51ttEPT6uBo9Uydycd4rdI,https://api.spotify.com/v1/tracks/51ttEPT6uBo9Uydycd4rdI,https://api.spotify.com/v1/audio-analysis/51ttEPT6uBo9Uydycd4rdI,222800,4,club
0.823,0.826,1,-2.055,1,0.0514,0.0118,0.00000193,0.205,0.187,127.996,audio_features,1V4jC0vJ5525lEF1bFgPX2,spotify:track:1V4jC0vJ5525lEF1bFgPX2,https://api.spotify.com/v1/tracks/1V4jC0vJ5525lEF1bFgPX2,https://api.spotify.com/v1/audio-analysis/1V4jC0vJ5525lEF1bFgPX2,222133,4,club
0.542,0.239,1,-15.2,1,0.099,0.556,0.000147,0.121,0.319,105.035,audio_features,4ikvbLodLlMlOANH3hURYo,spotify:track:4ikvbLodLlMlOANH3hURYo,https://api.spotify.com/v1/tracks/4ikvbLodLlMlOANH3hURYo,https://api.spotify.com/v1/audio-analysis/4ikvbLodLlMlOANH3hURYo,237760,4,club
0.709,0.709,8,-4.873,1,0.214,0.0472,0,0.117,0.334,144.989,audio_features,7vN10R8DgmW9gsY80mqDJv,spotify:track:7vN10R8DgmW9gsY80mqDJv,https://api.spotify.com/v1/tracks/7vN10R8DgmW9gsY80mqDJv,https://api.spotify.com/v1/audio-analysis/7vN10R8DgmW9gsY80mqDJv,182467,4,club
0.7,0.522,0,-10.418,0,0.235,0.0379,0.0000086,0.0892,0.321,121.927,audio_features,4wTMBYRE6xVTIUQ6fEudsJ,spotify:track:4wTMBYRE6xVTIUQ6fEudsJ,https://api.spotify.com/v1/tracks/4wTMBYRE6xVTIUQ6fEudsJ,https://api.spotify.com/v1/audio-analysis/4wTMBYRE6xVTIUQ6fEudsJ,277387,4,club
0.79,0.531,8,-6.968,1,0.197,0.0425,0,0.266,0.479,86.306,audio_features,2XDdHuoRmBeOaBIOSclj2k,spotify:track:2XDdHuoRmBeOaBIOSclj2k,https://api.spotify.com/v1/tracks/2XDdHuoRmBeOaBIOSclj2k,https://api.spotify.com/v1/audio-analysis/2XDdHuoRmBeOaBIOSclj2k,173160,4,club
0.581,0.619,1,-3.723,1,0.0496,0.0175,0,0.11,0.0867,130.432,audio_features,0TRvzhQIe3v6Jpcw8DBSte,spotify:track:0TRvzhQIe3v6Jpcw8DBSte,https://api.spotify.com/v1/tracks/0TRvzhQIe3v6Jpcw8DBSte,https://api.spotify.com/v1/audio-analysis/0TRvzhQIe3v6Jpcw8DBSte,269533,4,club
0.386,0.173,6,-15.531,0,0.0485,0.848,0.000122,0.107,0.121,100.719,audio_features,06UZYUYbMqpaawLgoKwSw9,spotify:track:06UZYUYbMqpaawLgoKwSw9,https://api.spotify.com/v1/tracks/06UZYUYbMqpaawLgoKwSw9,https://api.spotify.com/v1/audio-analysis/06UZYUYbMqpaawLgoKwSw9,265120,4,club
0.646,0.244,1,-15.204,1,0.0726,0.532,0.0000839,0.119,0.332,105.077,audio_features,4xKp0mZ2hY6eS0ii55KgKR,spotify:track:4xKp0mZ2hY6eS0ii55KgKR,https://api.spotify.com/v1/tracks/4xKp0mZ2hY6eS0ii55KgKR,https://api.spotify.com/v1/audio-analysis/4xKp0mZ2hY6eS0ii55KgKR,237733,4,club
0.646,0.592,7,-10.14,1,0.345,0.15,0,0.165,0.401,165.153,audio_features,7kTGH2abHjJHfbNVDpnHm3,spotify:track:7kTGH2abHjJHfbNVDpnHm3,https://api.spotify.com/v1/tracks/7kTGH2abHjJHfbNVDpnHm3,https://api.spotify.com/v1/audio-analysis/7kTGH2abHjJHfbNVDpnHm3,189657,4,club
0.523,0.592,1,-6.266,1,0.484,0.0376,0,0.476,0.88,78.487,audio_features,3Eq7yD58dIXqOgw1j7NFhY,spotify:track:3Eq7yD58dIXqOgw1j7NFhY,https://api.spotify.com/v1/tracks/3Eq7yD58dIXqOgw1j7NFhY,https://api.spotify.com/v1/audio-analysis/3Eq7yD58dIXqOgw1j7NFhY,223173,5,club
