danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.695,0.869,8,-5.066,1,0.0483,0.41,0,0.237,0.58,124.989,audio_features,05SBRd4fXgn8FX7bf8BCAE,spotify:track:05SBRd4fXgn8FX7bf8BCAE,https://api.spotify.com/v1/tracks/05SBRd4fXgn8FX7bf8BCAE,https://api.spotify.com/v1/audio-analysis/05SBRd4fXgn8FX7bf8BCAE,234507,4
0.315,0.296,5,-13.262,1,0.0317,0.771,0,0.702,0.436,172.638,audio_features,4LloVtxNZpeh7q7xdi1DQc,spotify:track:4LloVtxNZpeh7q7xdi1DQc,https://api.spotify.com/v1/tracks/4LloVtxNZpeh7q7xdi1DQc,https://api.spotify.com/v1/audio-analysis/4LloVtxNZpeh7q7xdi1DQc,263573,4
0.677,0.89,1,-4.448,0,0.0418,0.182,0,0.0826,0.764,97.012,audio_features,24YvUQnuPL8gObCfSnAobH,spotify:track:24YvUQnuPL8gObCfSnAobH,https://api.spotify.com/v1/tracks/24YvUQnuPL8gObCfSnAobH,https://api.spotify.com/v1/audio-analysis/24YvUQnuPL8gObCfSnAobH,216773,4
0.599,0.785,3,-4.013,1,0.0309,0.448,0.00336,0.151,0.52,140.046,audio_features,0mUyMawtxj1CJ76kn9gIZK,spotify:track:0mUyMawtxj1CJ76kn9gIZK,https://api.spotify.com/v1/tracks/0mUyMawtxj1CJ76kn9gIZK,https://api.spotify.com/v1/audio-analysis/0mUyMawtxj1CJ76kn9gIZK,233640,4
0.761,0.933,10,-5.38,1,0.056,0.0908,0.0000853,0.0606,0.836,122.959,audio_features,4Y7XAxTANhu3lmnLAzhWJW,spotify:track:4Y7XAxTANhu3lmnLAzhWJW,https://api.spotify.com/v1/tracks/4Y7XAxTANhu3lmnLAzhWJW,https://api.spotify.com/v1/audio-analysis/4Y7XAxTANhu3lmnLAzhWJW,236200,4
0.697,0.878,4,-3.928,0,0.0306,0.00236,0.119,0.129,0.644,120.018,audio_features,1Z8j3DHxRi1u6cOAXemLgn,spotify:track:1Z8j3DHxRi1u6cOAXemLgn,https://api.spotify.com/v1/tracks/1Z8j3DHxRi1u6cOAXemLgn,https://api.spotify.com/v1/audio-analysis/1Z8j3DHxRi1u6cOAXemLgn,196813,4
0.751,0.855,2,-6.858,1,0.107,0.188,0,0.721,0.853,113.065,audio_features,2CaudH3u0OVioRmaIXmVml,spotify:track:2CaudH3u0OVioRmaIXmVml,https://api.spotify.com/v1/tracks/2CaudH3u0OVioRmaIXmVml,https://api.spotify.com/v1/audio-analysis/2CaudH3u0OVioRmaIXmVml,187240,4
0.856,0.609,0,-7.223,1,0.0824,0.00801,0.0000815,0.0344,0.928,114.988,audio_features,32OlwWuMpZ6b0aN2RZOeMS,spotify:track:32OlwWuMpZ6b0aN2RZOeMS,https://api.spotify.com/v1/tracks/32OlwWuMpZ6b0aN2RZOeMS,https://api.spotify.com/v1/audio-analysis/32OlwWuMpZ6b0aN2RZOeMS,269667,4
0.708,0.779,7,-6.28,1,0.0787,0.421,0.00176,0.115,0.46,142.012,audio_features,21Go4aMyLGP40ANI3TU0Fn,spotify:track:21Go4aMyLGP40ANI3TU0Fn,https://api.spotify.com/v1/tracks/21Go4aMyLGP40ANI3TU0Fn,https://api.spotify.com/v1/audio-analysis/21Go4aMyLGP40ANI3TU0Fn,218228,4
0.688,0.473,8,-9.059,1,0.167,0.716,0.0000446,0.104,0.299,84.958,audio_features,01uqI4H13Gsd8Lyl1EYd8H,spotify:track:01uqI4H13Gsd8Lyl1EYd8H,https://api.spotify.com/v1/tracks/01uqI4H13Gsd8Lyl1EYd8H,https://api.spotify.com/v1/audio-analysis/01uqI4H13Gsd8Lyl1EYd8H,318525,4
